zip,lat,lon,radius_km
92251,32.86923,-115.71404,16.28
92252,34.14798,-116.28422,11.62
92253,33.65674,-116.29216,7.78
92254,33.54384,-115.99828,8.29
92256,34.07206,-116.61767,9.23
92257,33.33624,-115.52569,16.94
92258,33.92155,-116.55956,4.93
92259,32.73479,-115.94645,17.41
92260,33.69723,-116.40626,7.08
92262,33.86296,-116.55668,7.39
92264,33.71289,-116.49711,8.48
92266,33.19935,-114.91532,30.0
92267,34.29722,-114.2071,7.91
92268,34.16146,-116.55001,9.58
92270,33.76384,-116.43039,6.59
92273,32.80302,-115.69797,3.63
92274,33.47024,-116.11372,15.35
92275,33.20782,-115.88082,7.78
92276,33.83231,-116.3864,7.52
92277,34.12777,-115.69013,30.0
92278,34.23506,-116.05827,2.57
92280,34.12935,-114.98522,13.87
92281,33.05034,-115.61265,5.3
92282,33.96258,-116.6583,9.89
92283,32.89155,-114.77294,18.55
92284,34.16008,-116.42472,12.25
92285,34.33765,-116.51367,16.98
92301,34.65179,-117.52611,15.61
92304,34.54875,-115.6908,8.27
92305,34.14382,-116.86838,11.78
92307,34.57123,-117.13309,14.43
92308,34.42022,-117.15613,11.23
92309,35.2492,-116.15624,19.19
92310,35.33441,-116.76301,10.26
92311,34.96565,-117.00151,20.71
92313,34.03132,-117.31499,3.73
92314,34.25412,-116.79638,7.49
92315,34.21713,-116.94161,6.92
92316,34.05707,-117.39118,5.08
92317,34.24508,-117.20873,3.15
92320,33.98738,-117.05028,5.39
92321,34.25004,-117.14727,4.42
92322,34.25417,-117.32258,3.65
92324,34.02519,-117.28885,6.79
92325,34.2467,-117.27603,4.68
92327,34.86785,-116.83505,6.5
92328,36.37179,-116.97976,30.0
92332,34.90709,-115.36446,29.85
92333,34.26066,-116.98215,4.88
92335,34.08733,-117.46516,5.79
92336,34.13686,-117.46034,6.05
92337,34.04966,-117.47147,5.36
92338,34.78772,-116.25121,10.79
92339,34.08393,-116.83737,10.07
92341,34.23664,-117.06284,4.87
92342,34.76029,-117.33591,11.0
92344,34.39177,-117.40657,7.57
92345,34.36097,-117.31304,11.03
92346,34.12405,-117.17757,6.73
92347,34.95001,-117.25805,13.9
92350,34.05294,-117.2616,2.23
92352,34.26769,-117.18672,5.08
92354,34.05079,-117.25015,4.03
92356,34.49625,-116.89253,19.36
92358,34.24623,-117.56764,9.72
92359,34.08529,-117.07631,5.98
92363,34.71108,-114.58198,19.51
92364,35.3596,-115.43877,22.8
92365,34.89669,-116.56042,21.96
92368,34.66439,-117.31488,8.4
92369,34.13941,-117.21966,2.55
92371,34.43834,-117.54259,12.44
92372,34.44868,-117.63492,6.6
92373,34.01195,-117.1597,7.73
92374,34.06851,-117.17532,5.85
92376,34.11054,-117.38002,5.31
92377,34.15236,-117.40407,4.44
92378,34.23199,-117.22489,2.81
92382,34.20622,-117.11227,6.1
92384,36.04334,-116.11917,15.83
92385,34.21344,-117.23059,4.76
92386,34.23704,-116.82529,3.38
92389,35.82457,-116.27475,8.07
92391,34.23969,-117.23667,3.28
92392,34.47901,-117.40883,7.54
92394,34.56346,-117.35358,7.14
92395,34.50483,-117.29899,5.73
92397,34.35409,-117.75372,8.26
92398,34.98279,-116.85162,11.09
92399,34.03231,-117.01058,8.65
92401,34.10591,-117.29181,2.75
92404,34.17863,-117.23893,7.1
92405,34.14578,-117.30222,4.03
92407,34.22516,-117.38849,10.21
92408,34.08362,-117.26846,4.94
92410,34.11158,-117.26369,4.61
92411,34.12281,-117.32581,3.97
92415,34.10505,-117.28685,2.23
92501,33.99652,-117.37418,4.15
92503,33.88288,-117.45172,7.32
92504,33.90835,-117.40134,6.32
92505,33.92667,-117.4928,4.9
92506,33.93476,-117.36688,5.66
92507,33.99112,-117.30682,6.2
92508,33.89039,-117.32826,5.01
92509,34.00327,-117.442,7.03
92518,33.89634,-117.27706,4.55
92521,33.96714,-117.32637,2.77
92530,33.63306,-117.37046,9.97
92532,33.69056,-117.30244,5.54
92536,33.49199,-116.81695,11.41
92539,33.52787,-116.64762,12.36
92543,33.69864,-116.97916,5.97
92544,33.64593,-116.88163,13.87
92545,33.73112,-117.03587,6.95
92548,33.76391,-117.10903,5.28
92549,33.80382,-116.67927,11.35
92551,33.88274,-117.22488,4.25
92553,33.92335,-117.24533,4.91
92555,33.911,-117.11377,9.36
92557,33.97255,-117.25826,5.83
92561,33.63042,-116.58229,13.62
92562,33.53124,-117.344,11.54
92563,33.58002,-117.14736,6.32
92567,33.82614,-117.08447,7.23
92570,33.77995,-117.32257,11.36
92571,33.84213,-117.19498,7.68
92582,33.80761,-117.01516,5.9
92583,33.79691,-116.93137,6.9
92584,33.66143,-117.18228,6.9
92585,33.74217,-117.16724,5.76
92586,33.70768,-117.20043,4.31
92587,33.69393,-117.2505,4.43
92590,33.48294,-117.22608,8.69
92591,33.53433,-117.10921,5.77
92592,33.51094,-117.02151,11.53
92595,33.61635,-117.26035,6.22
92596,33.66891,-117.04731,8.91
92602,33.7365,-117.73493,5.53
92603,33.62926,-117.79408,4.87
92604,33.69069,-117.78914,3.66
92606,33.69252,-117.83121,3.69
92610,33.68336,-117.65408,3.83
92612,33.66002,-117.82443,4.3
92614,33.67795,-117.83457,3.91
92617,33.64197,-117.84105,3.36
92618,33.66731,-117.73358,6.13
92620,33.7066,-117.75695,4.21
92624,33.45665,-117.66681,3.11
92625,33.60197,-117.86425,3.45
92626,33.67959,-117.90853,4.83
92627,33.64811,-117.9212,4.3
92629,33.47506,-117.70563,4.04
92630,33.64493,-117.68431,4.95
92637,33.60823,-117.7261,3.56
92646,33.66103,-117.96795,4.58
92647,33.72323,-118.00869,4.49
92648,33.67905,-118.01301,4.57
92649,33.72024,-118.04538,4.16
92651,33.57148,-117.77289,6.26
92653,33.59401,-117.70073,4.39
92655,33.74603,-117.9876,2.86
92656,33.5752,-117.73035,4.57
92657,33.59506,-117.82913,4.62
92660,33.63463,-117.87488,4.82
92661,33.60359,-117.91267,2.73
92662,33.60509,-117.89232,2.41
92663,33.6252,-117.92877,3.65
92672,33.37294,-117.52096,7.41
92673,33.46691,-117.61402,4.91
92675,33.49977,-117.6537,5.32
92676,33.74949,-117.61639,9.57
92677,33.52865,-117.70125,5.68
92678,33.65182,-117.5071,7.61
92679,33.64944,-117.5614,6.56
92683,33.75243,-117.99387,4.83
92688,33.61873,-117.6108,5.3
92691,33.61194,-117.66587,4.69
92692,33.61218,-117.64045,4.66
92694,33.51501,-117.58061,7.75
92697,33.64973,-117.84909,2.37
92701,33.74862,-117.85871,3.63
92703,33.74852,-117.90616,3.87
92704,33.72113,-117.90511,4.47
92705,33.76601,-117.78676,5.12
92706,33.766,-117.88169,3.71
92707,33.70994,-117.87043,4.08
92708,33.71058,-117.95113,4.74
92780,33.73681,-117.81968,4.27
92782,33.72838,-117.79747,4.06
92801,33.84498,-117.95215,4.28
92802,33.80831,-117.92369,3.94
92804,33.81801,-117.97519,4.42
92805,33.83005,-117.90568,4.27
92806,33.83796,-117.87049,4.52
92807,33.84873,-117.78836,5.0
92808,33.85625,-117.74023,4.03
92821,33.93194,-117.85494,5.41
92823,33.92853,-117.79607,4.48
92831,33.87951,-117.89604,4.21
92832,33.86877,-117.92909,3.54
92833,33.88051,-117.96113,4.51
92835,33.90057,-117.91467,4.17
92840,33.78717,-117.93189,4.06
92841,33.78683,-117.98204,3.94
92843,33.76396,-117.93154,3.81
92844,33.7656,-117.96951,3.32
92845,33.78291,-118.02637,3.36
92860,33.92551,-117.5477,5.41
92861,33.81799,-117.81129,3.31
92865,33.82639,-117.85131,3.78
92866,33.78454,-117.84479,3.25
92867,33.81567,-117.79916,5.15
92868,33.78797,-117.87634,3.68
92869,33.79548,-117.76494,5.33
92870,33.88116,-117.85478,4.36
92879,33.88261,-117.5282,4.85
92880,33.92539,-117.60725,6.65
92881,33.82388,-117.57003,7.17
92882,33.86287,-117.60009,5.11
92883,33.75801,-117.48026,8.82
92886,33.89541,-117.80083,5.27
92887,33.88728,-117.73393,5.05
93001,34.36238,-119.35127,10.92
93003,34.28367,-119.2232,6.14
93004,34.27819,-119.16456,4.41
93010,34.22789,-119.07955,6.26
93012,34.20339,-118.99144,8.43
93013,34.44013,-119.50331,7.84
93015,34.40887,-118.8702,10.75
93021,34.30518,-118.88393,8.28
93022,34.40328,-119.29836,3.61
93023,34.5091,-119.25191,16.83
93030,34.2051,-119.17532,5.41
93033,34.16009,-119.1358,7.15
93035,34.18629,-119.22889,4.04
93036,34.24814,-119.15345,5.83
93040,34.60204,-119.01979,19.52
93041,34.16319,-119.18668,4.2
93042,33.25565,-119.50359,6.77
93043,34.17016,-119.20293,2.64
93060,34.37203,-119.09669,10.73
93063,34.30805,-118.68697,7.46
